EmployeeNumber,CarrierCode,GroupNumber,ProductCode,ProductItemCode,CertNumber,CoverageAmount,AnnualizedPremium,EffectiveDate,OriginalEffectiveDate,Status,Status Date,AgentCode,AppDate,IssuedDate,RenewalDate,State,PaidToDate,Line of Business,Location of Enrollment,Source of Application,Enrollment Method,OutofForceStatus,Writing Agent SplitPercentage_1,WritingNumber_2,SplitPercentage_2,WritingNumber_3,SplitPercentage_3,WritingNumber_4,SplitPercentage_4,WritingNumber_5,SplitPercentage_5,WritingNumber_6,SplitPercentage_6,WritingNumber_7,SplitPercentage_7,WritingNumber_8,SplitPercentage_8,WritingNumber_9,SplitPercentage_9,WritingNumber_10,SplitPercentage_10,Commissionable Percentage,SigningAgentCode,BuyUpNumber,Product Item Type,TransmittalNumber,Takeover_Rollover,MigrationDate,Plan Design,
PER2010674507,2500,0000024879,HI,AG.HI.80.K.V.ADMI.E.,0000001029,0.00###0.0,55.20###55.2,12012022,12012022,Active,12012022,1002,11082022,,12319999,OH,12312022###11302022,HI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,AC,AG.AC.70.K.V.INAC.E.,0000000981,0.00###0.0,61.44,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,AC,AG.AC.70.K.V.AFCC.E.,0000000981,0.00###0.0,0.00###0.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000000981,0.00###0.0,0.00###0.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000000981,0.00###0.0,0.00###0.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,AC,AG.AC.70.K.V.WELL.E.,0000000981,0.00###0.0,5.04,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,CI,AG.CI.21.K.V.ADDB.E.,0000000910,0.00###0.0,0.00###0.0,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,CI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,CI,AG.CI.21.K.V.CANC.E.,0000000910,0.00###0.0,0.00###0.0,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,CI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,CI,AG.CI.21.K.V.HSB.E.,0000000910,0.00###0.0,18.24,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,CI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,CI,AG.CI.21.K.V.SKCA.E.,0000000910,0.00###0.0,0.00###0.0,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,CI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,HI,AG.HI.80.K.V.HOSC.E.,0000000910,0.00###0.0,53.28,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674310,2500,0000024879,HI,AG.HI.80.K.V.ADMI.E.,0000000910,0.00###0.0,55.20###55.2,12012021,12012021,Active,12012021,1002,11082021,,12319999,GA,12312022###11302021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,CI,AG.CI.21.K.V.BASE.E.,0000000981,10000.00###10000.0,81.00###81.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,CI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,CI,AG.CI.21.K.V.ADDB.E.,0000000981,0.00###0.0,0.00###0.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,CI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,CI,AG.CI.21.K.V.CANC.E.,0000000981,0.00###0.0,0.00###0.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,CI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,CI,AG.CI.21.K.V.HSB.E.,0000000981,0.00###0.0,18.24,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,CI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674429,2500,0000024879,CI,AG.CI.21.K.V.SKCA.E.,0000000981,0.00###0.0,0.00###0.0,06012022,06012022,Active,06012022,1002,05122022,,12319999,OH,12312022###05312022,CI,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,AC,AG.AC.70.K.V.INAC.E.,0000000661,0.00###0.0,61.44,01012022,01012022,Active,01012022,1002,12082021,,12319999,GA,12312022###12312021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000001070,0.00###0.0,0.00###0.0,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000001070,0.00###0.0,0.00###0.0,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.WELL.E.,0000001070,0.00###0.0,5.04,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.INAC.C.,0000001070,0.00###0.0,63.60###63.6,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.AFCC.C.,0000001070,0.00###0.0,0.00###0.0,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.HOSC.C.,0000001070,0.00###0.0,0.00###0.0,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,AC,AG.AC.70.K.V.AFCC.E.,0000000661,0.00###0.0,0.00###0.0,01012022,01012022,Active,01012022,1002,12082021,,12319999,GA,12312022###12312021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000000661,0.00###0.0,0.00###0.0,01012022,01012022,Active,01012022,1002,12082021,,12319999,GA,12312022###12312021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000000661,0.00###0.0,0.00###0.0,01012022,01012022,Active,01012022,1002,12082021,,12319999,GA,12312022###12312021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,AC,AG.AC.70.K.V.WELL.E.,0000000661,0.00###0.0,5.04,01012022,01012022,Active,01012022,1002,12082021,,12319999,GA,12312022###12312021,AC,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,HI,AG.HI.80.K.V.HOSC.E.,0000000661,0.00###0.0,53.28,01012022,01012022,Active,01012022,1002,12092021,,12319999,GA,12312022###12312021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,HI,AG.HI.80.K.V.ADMI.E.,0000000661,0.00###0.0,55.20###55.2,01012022,01012022,Active,01012022,1002,12092021,,12319999,GA,12312022###12312021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.INAC.E.,0000000759,0.00###0.0,61.44,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.AFCC.E.,0000000759,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000000759,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000000759,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.WELL.E.,0000000759,0.00###0.0,5.04,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.INAC.S.,0000000759,0.00###0.0,41.04,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.LCEC.C.,0000001070,0.00###0.0,0.00###0.0,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2010674568,2500,0000024879,AC,AG.AC.70.K.V.WELL.C.,0000001070,0.00###0.0,5.40###5.4,01012023,01012023,Active,01012023,1002,12222022,,12319999,OH,12312022,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177274,2500,0000024879,AC,AG.AC.70.K.V.INAC.E.,0000000683,0.00###0.0,61.44,01012020,01012020,Active,01012020,1002,10162019,,12319999,OH,12312022###12312019,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2001177274,2500,0000024879,AC,AG.AC.70.K.V.AFCC.E.,0000000683,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,10162019,,12319999,OH,12312022###12312019,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177274,2500,0000024879,AC,AG.AC.70.K.V.HOSC.E.,0000000683,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,10162019,,12319999,OH,12312022###12312019,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177274,2500,0000024879,AC,AG.AC.70.K.V.LCEC.E.,0000000683,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,10162019,,12319999,OH,12312022###12312019,AC,OH,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,HI,AG.HI.80.K.V.HOSC.S.,0000000661,0.00###0.0,47.76,01012022,01012022,Active,01012022,1002,12092021,,12319999,GA,12312022###12312021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,HI,AG.HI.80.K.V.ADMI.S.,0000000661,0.00###0.0,55.20###55.2,01012022,01012022,Active,01012022,1002,12092021,,12319999,GA,12312022###12312021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,HI,AG.HI.80.K.V.HOSC.C.,0000000661,0.00###0.0,36.24,01012022,01012022,Active,01012022,1002,12092021,,12319999,GA,12312022###12312021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001177237,2500,0000024879,HI,AG.HI.80.K.V.ADMI.C.,0000000661,0.00###0.0,26.40###26.4,01012022,01012022,Active,01012022,1002,12092021,,12319999,GA,12312022###12312021,HI,GA,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,55.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2001176224,2500,0000024879,CI,AG.CI.21.K.V.BASE.E.,0000000157,20000.00###20000.0,811.08,01012022,01012022,Active,01012022,1002,12082021,,12319999,KY,12312022###12312021,CI,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Base Coverage,,None,2023-01-01 00:00:00.0,MP1,
PER2001176224,2500,0000024879,CI,AG.CI.21.K.V.ADDB.E.,0000000157,0.00###0.0,0.00###0.0,01012022,01012022,Active,01012022,1002,12082021,,12319999,KY,12312022###12312021,CI,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,70.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.AFCC.S.,0000000759,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.HOSC.S.,0000000759,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.LCEC.S.,0000000759,0.00###0.0,0.00###0.0,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
PER2009235514,2500,0000024879,AC,AG.AC.70.K.V.WELL.S.,0000000759,0.00###0.0,4.08,01012020,01012020,Active,01012020,1002,12102019,,12319999,KY,12312022###12312019,AC,KY,Paper,HR Enrolled,,0.0,GL894,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,65.0,1002,-1,Rider,,None,2023-01-01 00:00:00.0,MP1,
